Player,Age,Season,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
LeBron James,28,2013,MIA,120.0,1207.0,1210.0,0.998,76.0,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
Carmelo Anthony,28,2013,NYK,1.0,475.0,1210.0,0.393,67.0,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
Kevin Durant,25,2014,OKC,119.0,1232.0,1250.0,0.986,81.0,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
LeBron James,29,2014,MIA,6.0,891.0,1250.0,0.713,77.0,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264
Stephen Curry,26,2015,GSW,100.0,1198.0,1300.0,0.922,80.0,32.7,23.8,4.3,7.7,2.0,0.2,0.487,0.443,0.914,15.7,0.288
James Harden,25,2015,HOU,25.0,936.0,1300.0,0.72,81.0,36.8,27.4,5.7,7.0,1.9,0.7,0.44,0.375,0.868,16.4,0.265
LeBron James,30,2015,CLE,5.0,552.0,1300.0,0.425,69.0,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199
Stephen Curry,27,2016,GSW,131.0,1310.0,1310.0,1.0,79.0,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
Russell Westbrook,28,2017,OKC,69.0,888.0,1010.0,0.879,81.0,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
James Harden,27,2017,HOU,22.0,753.0,1010.0,0.746,81.0,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245
Kawhi Leonard,25,2017,SAS,9.0,500.0,1010.0,0.495,74.0,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
LeBron James,32,2017,CLE,1.0,333.0,1010.0,0.33,74.0,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221
James Harden,28,2018,HOU,86.0,965.0,1010.0,0.955,72.0,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
LeBron James,33,2018,CLE,15.0,738.0,1010.0,0.731,82.0,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221
Giannis Antetokounmpo,24,2019,MIL,78.0,941.0,1010.0,0.932,72.0,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
James Harden,29,2019,HOU,23.0,776.0,1010.0,0.768,78.0,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254
Giannis Antetokounmpo,25,2020,MIL,85.0,962.0,1010.0,0.952,63.0,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279
LeBron James,35,2020,LAL,16.0,753.0,1010.0,0.746,67.0,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204
Nikola Jokić,25,2021,DEN,91.0,971.0,1010.0,0.961,72.0,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301
Joel Embiid,26,2021,PHI,1.0,586.0,1010.0,0.58,51.0,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266
Stephen Curry,32,2021,GSW,5.0,453.0,1010.0,0.449,63.0,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201
Giannis Antetokounmpo,26,2021,MIL,1.0,348.0,1010.0,0.345,61.0,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244
Chris Paul,35,2021,PHO,2.0,139.0,1010.0,0.138,70.0,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201
Nikola Jokić,26,2022,DEN,65.0,875.0,1000.0,0.875,74.0,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296
Joel Embiid,27,2022,PHI,26.0,706.0,1000.0,0.706,68.0,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252
Giannis Antetokounmpo,27,2022,MIL,9.0,595.0,1000.0,0.595,67.0,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281
